Section,Title,Function / Class / Module,File,Check?
2.1,Timing / framing constants (epoch_seconds 1.0),"start-command setup vars (epoch_seconds, overlap, epoch_samples, step_samples)",signal_processing/sp_routes.py,
2.1,Feedback push cadence,feedback_interval (update_feedback_interval),signal_processing/sp_routes.py,
2.1,EEG waveform push cadence,eeg_update_interval (0.1 s / 10 Hz),signal_processing/sp_routes.py,
2.1,Inbound command poll,message_check_interval (0.5 s),signal_processing/sp_routes.py,
2.1,Baseline window,baseline_collection_duration (30.0 s),signal_processing/sp_routes.py,
2.1,Per-round length,round_duration = total_session_duration / session_rounds,signal_processing/sp_routes.py,
2.2,Acquisition — real device,class DeviceAcquisition,signal_processing/device_acquisition.py,
2.2,Acquisition — serial port discovery,find_serial_port,signal_processing/device_acquisition.py,
2.2,Acquisition — read samples,DeviceAcquisition.read_samples(n),signal_processing/device_acquisition.py,
2.2,Acquisition — simulator fallback,class SimulatedAcquisition,signal_processing/acquisition.py,
2.2,Simulator artifact injection,SimulatedAcquisition (18 s blink/spike/EMG cycle),signal_processing/acquisition.py,
2.3,Preprocessing filter chain,class PlotterAlignedFilterChain,signal_processing/preprocessing.py,
2.3,Filter apply,PlotterAlignedFilterChain.process(data),signal_processing/preprocessing.py,
2.4,Feature extraction — band power,welch_bandpower,signal_processing/features.py,
2.4,Feature extraction — orchestrator,compute_features,signal_processing/features.py,
2.4,Ratio features (TBR),compute_features (numerator/denominator ratio path),signal_processing/features.py,
2.5,Baseline collection,build_round_state baseline buffers,signal_processing/sp_routes.py,
2.5,Threshold derivation (enhance/inhibit),inline static threshold logic,signal_processing/sp_routes.py,
2.5,Z-score (relative deviation),z = (value - threshold) / abs(threshold),signal_processing/sp_routes.py,
2.6,Display threshold smoothing,inline EMA (threshold_smoothing_alpha = 0.1),signal_processing/sp_routes.py,
2.7,Success mapping — fixed threshold,fixed_threshold branch,signal_processing/sp_routes.py,
2.7,Success mapping — sigmoid,sigmoid_map,signal_processing/feedback.py,
2.7,Success mapping — linear,linear_map,signal_processing/feedback.py,
2.7,Feedback aggregation (feedback_val),mean(per-feature success),signal_processing/sp_routes.py,
2.7,Overall success rate,session_epoch_history -> overall_success_rate,signal_processing/sp_routes.py,
2.8,Artifact — amplitude,amplitude_threshold_epochs,signal_processing/artifact.py,
2.8,Artifact — eye blink,eye_blink_detection,signal_processing/artifact.py,
2.8,Artifact — EMG,emg_detection,signal_processing/artifact.py,
